,PLAYER,POSITION,AGE,MP,DRB,STL,BLK,PF,TEAM,GP,DRPM,SALARY_MILLIONS
0,Russell Westbrook,PG,28,34.6,9.0,1.6,0.4,2.3,OKC,81,-0.47,26.5
1,James Harden,PG,27,36.4,7.0,1.5,0.5,2.7,HOU,81,-1.57,26.5
2,Isaiah Thomas,PG,27,33.8,2.1,0.9,0.2,2.2,BOS,76,-3.89,6.59
3,Anthony Davis,C,23,36.1,9.5,1.3,2.2,2.2,NO,75,3.9,22.12
4,DeMarcus Cousins,C,26,34.2,8.9,1.4,1.3,3.9,NO/SAC,72,0.64,16.96
5,Damian Lillard,PG,26,35.9,4.3,0.9,0.3,2.0,POR,75,-1.49,24.33
6,LeBron James,SF,32,37.8,7.3,1.2,0.6,1.8,CLE,74,1.93,30.96
7,Kawhi Leonard,SF,25,33.4,4.7,1.8,0.7,1.6,SA,74,1.25,17.64
8,Stephen Curry,PG,28,33.4,3.7,1.8,0.2,2.3,GS,79,0.14,12.11
9,Kyrie Irving,PG,24,35.1,2.5,1.2,0.3,2.2,CLE,72,-2.3,17.64
10,Kevin Durant,SF,28,33.4,7.6,1.1,1.6,1.9,GS,62,1.33,26.5
11,Karl-Anthony Towns,C,21,37.0,8.7,0.7,1.3,2.9,MIN,82,-1.41,5.96
12,Jimmy Butler,SF,27,37.0,4.5,1.9,0.4,1.5,CHI,76,1.8,17.55
13,Paul George,SF,26,35.9,5.8,1.6,0.4,2.7,IND,75,-0.09,18.31
14,Andrew Wiggins,SF,21,37.2,2.8,1.0,0.4,2.2,MIN,82,-3.16,6.01
15,Kemba Walker,PG,26,34.7,3.3,1.1,0.3,1.5,CHA,79,-1.25,12.0
16,Bradley Beal,SG,23,34.9,2.4,1.1,0.3,2.2,WSH,77,-1.04,22.12
17,John Wall,PG,26,36.4,3.4,2.0,0.6,1.9,WSH,78,-1.26,16.96
18,Giannis Antetokounmpo,SF,22,35.6,7.0,1.6,1.9,3.1,MIL,80,1.86,3.0
19,Carmelo Anthony,SF,32,34.3,5.1,0.8,0.5,2.7,NY,74,-1.75,24.56
20,Klay Thompson,SG,26,34.0,3.0,0.8,0.5,1.8,GS,78,-0.45,16.66
21,Devin Booker,SG,20,35.0,2.6,0.9,0.3,3.1,PHX,78,-2.58,2.22
22,Gordon Hayward,SF,26,34.5,4.7,1.0,0.3,1.6,UTAH,73,-0.08,16.07
23,Blake Griffin,PF,27,34.0,6.3,0.9,0.4,2.6,LAC,61,0.76,20.14
24,Eric Bledsoe,PG,27,33.0,4.1,1.4,0.5,2.5,PHX,66,-0.64,14.0
25,Mike Conley,PG,29,33.2,3.0,1.3,0.3,1.8,MEM,69,-0.2,26.54
26,Brook Lopez,C,28,29.6,3.8,0.5,1.7,2.6,BKN,75,0.55,21.17
27,Goran Dragic,PG,30,33.7,3.0,1.2,0.2,2.7,MIA,73,-1.62,15.89
28,Joel Embiid,C,22,25.4,5.9,0.9,2.5,3.6,PHI,31,2.27,4.83
29,Jabari Parker,PF,21,33.9,4.6,1.0,0.4,2.2,MIL,51,-1.61,5.37
30,Marc Gasol,C,32,34.2,5.5,0.9,1.3,2.3,MEM,74,0.72,21.17
31,Kevin Love,PF,28,31.4,8.6,0.9,0.4,2.1,CLE,60,2.26,21.17
32,Zach LaVine,SG,21,37.2,3.0,0.9,0.2,2.2,MIN,47,-2.35,2.24
33,Rudy Gay,SF,30,33.8,5.2,1.5,0.9,2.6,SAC,30,1.96,13.33
34,Dwyane Wade,SG,35,29.9,3.5,1.4,0.7,1.9,CHI,60,-0.46,23.2
35,Danilo Gallinari,SF,28,33.9,4.5,0.6,0.2,1.5,DEN,63,0.21,15.05
36,Paul Millsap,PF,31,34.0,6.1,1.3,0.9,2.7,ATL,69,3.35,20.07
37,Chris Paul,PG,31,31.5,4.3,2.0,0.1,2.4,LAC,61,2.76,22.87
38,Kristaps Porzingis,PF,21,32.8,5.5,0.7,2.0,3.7,NY,66,1.9,4.32
39,Derrick Rose,PG,28,32.5,2.8,0.7,0.3,1.3,NY,64,-2.36,21.32
40,Dennis Schroder,PG,23,31.5,2.6,0.9,0.2,1.9,ATL,79,-2.76,2.71
41,LaMarcus Aldridge,PF,31,32.4,4.9,0.6,1.2,2.2,SA,72,1.05,20.58
42,Evan Fournier,SG,24,32.9,2.4,1.0,0.1,2.6,ORL,68,-1.17,17.0
43,George Hill,PG,30,31.5,2.9,1.0,0.2,2.3,UTAH,49,1.11,8.0
44,Nikola Jokic,C,21,27.9,6.9,0.8,0.8,2.9,DEN,73,2.29,1.36
45,Avery Bradley,SG,26,33.4,4.9,1.2,0.2,2.6,BOS,55,-1.72,8.27
46,Eric Gordon,SG,28,31.0,2.3,0.6,0.5,2.0,HOU,75,-0.48,12.39
47,Tobias Harris,PF,24,31.3,4.3,0.7,0.5,1.6,DET,82,-0.25,17.2
48,Victor Oladipo,SG,24,33.2,3.8,1.2,0.3,2.3,OKC,67,1.56,6.55
